Sample Number,Article Number,Year & Month,Journal,DOI,Matrix name,Monomer,Functional group,Initiator,Matrix modification method,Matrix relative dielectric constant (1Hz),Matrix relative dielectric constant (10Hz),Matrix relative dielectric constant (100Hz),Matrix relative dielectric constant (1kHz),Matrix relative dielectric constant (10kHz),Matrix relative dielectric constant (10^5Hz),Matrix relative dielectric constant (1MHz),Matrix dielectric loss (1Hz),Matrix dielectric loss (10Hz),Matrix dielectric loss (100Hz),Matrix dielectric loss (1kHz),Matrix dielectric loss (10kHz),Matrix dielectric loss (10^5Hz),Matrix dielectric loss (1MHz),Matrix breakdown electric field/kV·mm-1,Matrix conductivity (1Hz)/S·m-1,Matrix conductivity (10Hz)/S·m-1,Matrix conductivity (100Hz)/S·m-1,Matrix conductivity (1kHz)/S·m-1,Matrix conductivity (10kHz)/S·m-1,Matrix conductivity (10^5Hz)/S·m-1,Matrix conductivity (1MHz)/S·m-1,Matrix elastic modulus/MPa,Particle material category,Particle conductivity category,Particle component,Particle main elements,Particle morphology,Particle size/nm,Particle arrangement,Filling ratio (wt),Filling ratio (vol),Particle synthesis method,Particle modification method,Particle relative dielectric constant (1Hz),Particle relative dielectric constant (10Hz),Particle relative dielectric constant (100Hz),Particle relative dielectric constant (1kHz),Particle relative dielectric constant (10kHz),Particle relative dielectric constant (10^5Hz),Particle relative dielectric constant (1MHz),Particle dielectric loss (1Hz),Particle dielectric loss (10Hz),Particle dielectric loss (100Hz),Particle dielectric loss (1kHz),Particle dielectric loss (10kHz),Particle dielectric loss (10^5Hz),Particle dielectric loss (1MHz),Particle conductivity (1Hz)/S·m-1,Particle conductivity (10Hz)/S·m-1,Particle conductivity (100Hz)/S·m-1,Particle conductivity (1kHz)/S·m-1,Particle conductivity (10kHz)/S·m-1,Particle conductivity (10^5Hz)/S·m-1,Particle conductivity (1MHz)/S·m-1,Preparation of composite,Composite thickness/mm,Composite relative dielectric constant (1Hz),Composite relative dielectric constant (10Hz),Composite relative dielectric constant (100Hz),Composite relative dielectric constant (1kHz),Composite relative dielectric constant (10kHz),Composite relative dielectric constant (10^5Hz),Composite relative dielectric constant (1MHz),Composite elastic modulus/MPa,Composite dielectric loss (1Hz),Composite dielectric loss (10Hz),Composite dielectric loss (100Hz),Composite dielectric loss (1kHz),Composite dielectric loss (10kHz),Composite dielectric loss (10^5Hz),Composite dielectric loss (1MHz),Composite conductivity (1Hz)/S·m-1,Composite conductivity (10Hz)/S·m-1,Composite conductivity (100Hz)/S·m-1,Composite conductivity (1kHz)/S·m-1,Composite conductivity (10kHz)/S·m-1,Composite conductivity (10^5Hz)/S·m-1,Composite conductivity (1MHz)/S·m-1,Maximum strain,Breakdown voltage/kV,Breakdown electric field/kV·mm-1,Pre-stretching ratio,Prestress/N,Applied electric field/kV·mm,Frequency/Hz,Actuation displacement/mm,Actuating force/N,Actuating strain,Stress/MPa,Area strain,Response time/ms,Recovery time/ms,Response speed/Hz,Maximum bandwidth/Hz,Electromechanical sensitivity/MPa-1,Elastic energy density/MPa-1,Power density/W·kg-1,Energy density/J·kg-1,Energy efficiency/%,Cyclic voltage/Kv,Cyclic electric field/kV·mm-1,Cyclic strain,Cycle life,Time constant/ms,Single type particles or not,2nd particle material category,2nd particle conductivity category,2nd particle component,2nd particle main elements,2nd particle morphology,2nd particle size,2nd particle arrangement,2nd filling ratio (wt),2nd filling ratio (vol),2nd particle synthesis method,2nd particle modification method,2nd particle relative dielectric constant (1Hz),2nd particle relative dielectric constant (10Hz),2nd particle relative dielectric constant (100Hz),2nd particle relative dielectric constant (1kHz),2nd particle relative dielectric constant (10kHz),2nd particle relative dielectric constant (10^5Hz),2nd particle relative dielectric constant (1MHz),2nd particle dielectric loss (1Hz),2nd particle dielectric loss (10Hz),2nd particle dielectric loss (100Hz),2nd particle dielectric loss (1kHz),2nd particle dielectric loss (10kHz),2nd particle dielectric loss (10^5Hz),2nd particle dielectric loss (1MHz),2nd particle conductivity (1Hz),2nd particle conductivity (10Hz),2nd particle conductivity (100Hz),2nd particle conductivity (1kHz),2nd particle conductivity (10kHz),2nd particle conductivity (10^5Hz),2nd particle conductivity (1MHz),3rd particle material category,3rd particle conductivity category,3rd particle component,3rd particle main elements,3rd particle morphology,3rd particle size,3rd particle arrangement,3rd doping ratio (wt),3rd doping ratio (vol),3rd particle synthesis method,3rd particle modification method,3rd particle relative dielectric constant (1Hz),3rd particle relative dielectric constant (10Hz),3rd particle relative dielectric constant (100Hz),3rd particle relative dielectric constant (1kHz),3rd particle relative dielectric constant (10kHz),3rd particle relative dielectric constant (10^5Hz),3rd particle relative dielectric constant (1MHz),3rd particle dielectric loss (1Hz),3rd particle dielectric loss (10Hz),3rd particle dielectric loss (100Hz),3rd particle dielectric loss (1kHz),3rd particle dielectric loss (10kHz),3rd particle dielectric loss (10^5Hz),3rd particle dielectric loss (1MHz),3rd particle conductivity (1Hz),3rd particle conductivity (10Hz),3rd particle conductivity (100Hz),3rd particle conductivity (1kHz),3rd particle conductivity (10kHz),3rd particle conductivity (10^5Hz),3rd particle conductivity (1MHz)
186,40,201910,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.48629,标准马来西亚橡胶（SMR10）,,,,——改性(端基NR/ND-VTMS)标准马来西亚橡胶——聚合物单体在实验室级混合器中聚合，转子转速为60rpm，起始温度为50度。,3.17,3.15,3.14,3.12,3.11,3.09,,0.009,0.008,0.008,0.008,0.013,0.031,,,,8.00E-12,9.00E-11,0.000000001,0.00000004,0.0000001,,0.136,无机非金属,介电,ZnO,Zn/O,球型,50,各向异性,0.03,,商用化学纯氧化锌粉末,/,,,,,,,8.15,,,,,,,,,,,,,,,使用了具有羧化表面(芬兰碳酸)和氢化表面的ND（金刚石）粉末。此外，ND-COOH用乙烯基三甲氧基硅烷(VTMS，西格玛奥尔德里奇，芬兰对NR化合物进行化学修饰。使用了ND：硅烷=1：5质量比。材料在150C的热压机下固化，形成1毫米的薄片。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,无机非金属,导体,纳米金刚石粉末(NDs),C,不规则型,,各向同性,0.01,,商用化学纳米金刚石粉末,/,,,,,,,,,,,,,,,,,,,,,硫黄,S,,,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,40,201910,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.48629,标准马来西亚橡胶（SMR10）,,,,——改性(NR/ND-H)标准马来西亚橡胶——聚合物单体在实验室级混合器中聚合，转子转速为60rpm，起始温度为50度。,3.17,3.15,3.14,3.12,3.11,3.09,,0.015,0.015,0.013,0.012,0.015,0.025,,,,8.00E-12,9.00E-11,0.000000001,0.00000004,0.0000001,,0.129,无机非金属,介电,ZnO,Zn/O,球型,50,各向异性,0.03,,商用化学纯氧化锌粉末,/,,,,,,,8.15,,,,,,,,,,,,,,,使用了具有羧化表面(芬兰碳酸)和氢化表面的ND（金刚石）粉末。此外，ND-COOH用乙烯基三甲氧基硅烷(VTMS，西格玛奥尔德里奇，芬兰对NR化合物进行化学修饰。使用了ND：硅烷=1：5质量比。材料在150C的热压机下固化，形成1毫米的薄片。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,无机非金属,导体,纳米金刚石粉末(NDs),C,不规则型,,各向同性,0.01,,商用化学纳米金刚石粉末,/,,,,,,,,,,,,,,,,,,,,,硫黄,S,,,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,40,201910,JOURNAL OF APPLIED POLYMER SCIENCE,10.1002/app.48629,标准马来西亚橡胶（SMR10）,,,,——改性(VHB)标准马来西亚橡胶——聚合物单体在实验室级混合器中聚合，转子转速为60rpm，起始温度为50度。,5.2,5.15,5.09,5.01,4.76,4.47,,0.007,0.013,0.052,0.19,0.2,0.21,,,5.00E-15,1.00E-14,7.00E-13,2.50E-11,2.70E-09,0.000000038,,0.051,无机非金属,介电,ZnO,Zn/O,球型,50,各向异性,0.03,,商用化学纯氧化锌粉末,/,,,,,,,8.15,,,,,,,,,,,,,,,使用了具有羧化表面(芬兰碳酸)和氢化表面的ND（金刚石）粉末。此外，ND-COOH用乙烯基三甲氧基硅烷(VTMS，西格玛奥尔德里奇，芬兰对NR化合物进行化学修饰。使用了ND：硅烷=1：5质量比。材料在150C的热压机下固化，形成1毫米的薄片。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,无机非金属,导体,纳米金刚石粉末(NDs),C,不规则型,,各向同性,0.01,,商用化学纳米金刚石粉末,/,,,,,,,,,,,,,,,,,,,,,硫黄,S,,,,0.0175,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,41,201911,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201907375,基质：PDMS（Sylgard184）,,,,——基质——10gPDMS （Sylgard184）与2.5g硫醇功能化交联剂（[5%（巯基丙基）甲基硅氧烷]-二甲基硅氧烷共聚物）聚合反应，0.1g羟基-2-甲基丙酚作为光引发剂结合   ,6,6,6,6,6,6,,,,,,,,,26,,,       ,,,,,,无机非金属,导体,C,C,球型,50,各向同性,0.0018,,商用化学纯炭黑粒子,将4gPEG-PES低聚物与0.88g炭黑混合，制备由18%炭黑组成的电极油墨。,,,,,,,,,,,,,,,,,,,,,,将12g的PEG-PES低聚物加入到一个20 mL的闪烁瓶中。在混合物中加入120mgI651，混合30 min以溶解引发剂。以所需的比例加入二硫醇和三硫醇，混合1 min。将混合物倒入塑料培养皿中，在真空(≈70kPa)中脱气20 min，以去除气泡。在氮气气氛中，样品暴露在395nm光下5 min以交联薄膜。最后的薄膜厚度为≈1mm。,1,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,0.0000004,0.0000001,0.0000005,0.0000005,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
190,41,201911,ADVANCED FUNCTIONAL MATERIALS,10.1002/adfm.201907375, 介电基体：聚氨酯丙烯酸酯(CN9021),,,, ——介电基体——将5.45g聚氨酯丙烯酸酯低聚物和6.55gDOP增塑剂组合在20mL闪烁瓶中。在混合物中加入0.22g的BDDA，交联剂：聚合物的比例为0.04。,2.8,2.8,2.8,2.8,2.8,2.8,,,,,,,,,26,,,,,,,,,无机非金属,导体,C,C,球型,50,各向同性,0.0018,,商用化学纯炭黑粒子,将4gPEG-PES低聚物与0.88g炭黑混合，制备由19%炭黑组成的电极油墨。,,,,,,,,,,,,,,,,,,,,,,将12gCN9021：DOP：BDDA：I651混合物倒入塑料培养皿中，在真空(≈70kPa)中脱气20 min以去除气泡。在氮气气氛中，样品暴露在395nm光下5 min，以交联弹性体膜。最后的薄膜厚度为≈1mm。,1,,,,,,,,,0.1,0.1,0.1,0.1,0.1,0.1,,0.0000004,0.0000001,0.0000005,0.0000005,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,43,201911,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2019.121993,自修复弹性体(TuSE)-聚合合成产物,,,,——纯基体——合成方法：首先，将苯二酸(2.2729g)、柠檬酸(0.7197g)和Deta(4g)加入到一个具有机械搅拌和回流冷凝器系统的圆底烧瓶中。将混合物在氮气气氛(400mLmin−1)下加热到120°C12小时，然后加热到160°C24小时。,132,110,49.8,10.8,9.5,7.2,,,1.54,0.86,0.85,0.62,0.53,,9,, ,0.00000002,0.00000003,0.00000003,0.0000008,,3.78,无机非金属,介电,TiO2 ,Ti/O,球型,600,各向异性,0,,室温水解法,以二氧化钛为核心的尿素核壳包覆结构,,,,,,,127.5,,,,,,,,,,,,,,,将尿素(0.6993g)和可变量的TiO2/尿素颗粒在135°C下加入到合成好的基体中，反应2h。随后，将形成的低聚物合成温度设置成每60min增加5°C，提高到160°C，并在160°C下保存2小时。最后，取出得到的超分子材料，在室温下在水中浸泡12h，然后在80°C的烘箱中真空干燥8h。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,43,201911,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2019.121993,自修复弹性体(TuSE)-聚合合成产物,,,,——含1%掺杂氧化锌颗粒的弹性体——合成方法：首先，将苯二酸(2.2729g)、柠檬酸(0.7197g)和Deta(4g)加入到一个具有机械搅拌和回流冷凝器系统的圆底烧瓶中。将混合物在氮气气氛(400mLmin−1)下加热到120°C12小时，然后加热到160°C24小时。,214,175,50.2,16.1,15.6,13.2,,,5.25,2.78,1.06,0.69,0.62,,8.5,,0.00000001,0.00000002,0.00000003,0.00000008,0.0000001,,0.14,无机非金属,介电,TiO2 ,Ti/O,球型,600,各向异性,0.01,,室温水解法,以二氧化钛为核心的尿素核壳包覆结构,,,,,,,127.5,,,,,,,,,,,,,,,将尿素(0.6993g)和可变量的TiO2/尿素颗粒在135°C下加入到合成好的基体中，反应2h。随后，将形成的低聚物合成温度设置成每60min增加5°C，提高到160°C，并在160°C下保存2小时。最后，取出得到的超分子材料，在室温下在水中浸泡12h，然后在80°C的烘箱中真空干燥8h。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,43,201911,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2019.121993,自修复弹性体(TuSE)-聚合合成产物,,,,——含3%掺杂氧化锌颗粒的弹性体——合成方法：首先，将苯二酸(2.2729g)、柠檬酸(0.7197g)和Deta(4g)加入到一个具有机械搅拌和回流冷凝器系统的圆底烧瓶中。将混合物在氮气气氛(400mLmin−1)下加热到120°C12小时，然后加热到160°C24小时。,284,220,75.3,19,18.3,15.9,,,13.12,6.75,2.28,1.32,0.72,,8.2,,0.00000003,0.00000003,0.00000004,0.00000006,0.00000013,,0.74,无机非金属,介电,TiO2 ,Ti/O,球型,600,各向异性,0.03,,室温水解法,以二氧化钛为核心的尿素核壳包覆结构,,,,,,,127.5,,,,,,,,,,,,,,,将尿素(0.6993g)和可变量的TiO2/尿素颗粒在135°C下加入到合成好的基体中，反应2h。随后，将形成的低聚物合成温度设置成每60min增加5°C，提高到160°C，并在160°C下保存2小时。最后，取出得到的超分子材料，在室温下在水中浸泡12h，然后在80°C的烘箱中真空干燥8h。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,43,201911,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2019.121993,自修复弹性体(TuSE)-聚合合成产物,,,,——含5%掺杂氧化锌颗粒的弹性体——合成方法：首先，将苯二酸(2.2729g)、柠檬酸(0.7197g)和Deta(4g)加入到一个具有机械搅拌和回流冷凝器系统的圆底烧瓶中。将混合物在氮气气氛(400mLmin−1)下加热到120°C12小时，然后加热到160°C24小时。,358,340,140.8,37.5,35.1,32.8,,,3.15,1.57,1.15,0.83,0.64,,8,,0.00000001,0.00000002,0.00000004,0.00000008,0.00000022,,1.04,无机非金属,介电,TiO2 ,Ti/O,球型,600,各向异性,0.05,,室温水解法,以二氧化钛为核心的尿素核壳包覆结构,,,,,,,127.5,,,,,,,,,,,,,,,将尿素(0.6993g)和可变量的TiO2/尿素颗粒在135°C下加入到合成好的基体中，反应2h。随后，将形成的低聚物合成温度设置成每60min增加5°C，提高到160°C，并在160°C下保存2小时。最后，取出得到的超分子材料，在室温下在水中浸泡12h，然后在80°C的烘箱中真空干燥8h。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,43,201911,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2019.121993,自修复弹性体(TuSE)-聚合合成产物,,,,——含7%掺杂氧化锌颗粒的弹性体——合成方法：首先，将苯二酸(2.2729g)、柠檬酸(0.7197g)和Deta(4g)加入到一个具有机械搅拌和回流冷凝器系统的圆底烧瓶中。将混合物在氮气气氛(400mLmin−1)下加热到120°C12小时，然后加热到160°C24小时。,84.5,78,35.2,14.3,13.2,11.6,,,78,2.51,0.86,0.58,0.51,,7,,0.00000001,0.00000002,0.00000003,0.00000005,0.00000009,,1.64,无机非金属,介电,TiO2 ,Ti/O,球型,600,各向异性,0.07,,室温水解法,以二氧化钛为核心的尿素核壳包覆结构,,,,,,,127.5,,,,,,,,,,,,,,,将尿素(0.6993g)和可变量的TiO2/尿素颗粒在135°C下加入到合成好的基体中，反应2h。随后，将形成的低聚物合成温度设置成每60min增加5°C，提高到160°C，并在160°C下保存2小时。最后，取出得到的超分子材料，在室温下在水中浸泡12h，然后在80°C的烘箱中真空干燥8h。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,43,201911,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2019.121993,自修复弹性体(TuSE)-聚合合成产物,,,,——含9%掺杂氧化锌颗粒的弹性体——合成方法：首先，将苯二酸(2.2729g)、柠檬酸(0.7197g)和Deta(4g)加入到一个具有机械搅拌和回流冷凝器系统的圆底烧瓶中。将混合物在氮气气氛(400mLmin−1)下加热到120°C12小时，然后加热到160°C24小时。,95.4,80,36.8,15,14.1,13.5,,,80,2.42,0.74,0.56,0.48,,6,,0.00000001,0.00000002,0.00000004,0.00000005,0.00000007,,1.08,无机非金属,介电,TiO2 ,Ti/O,球型,600,各向异性,0.09,,室温水解法,以二氧化钛为核心的尿素核壳包覆结构,,,,,,,127.5,,,,,,,,,,,,,,,将尿素(0.6993g)和可变量的TiO2/尿素颗粒在135°C下加入到合成好的基体中，反应2h。随后，将形成的低聚物合成温度设置成每60min增加5°C，提高到160°C，并在160°C下保存2小时。最后，取出得到的超分子材料，在室温下在水中浸泡12h，然后在80°C的烘箱中真空干燥8h。,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,44,202004,APPLIED MATERIALS &INTERFACE,10.1021/acsami.0c03692,预聚硅氧烷：甲基氢硅氧烷-二甲基硅氧烷共聚物(CL)(购自ABCR),,,,——A1 含(32 wt% 硝基苯胺基团)——从具有硅醇端基的硝基苯胺修饰的预聚硅氧烷开始。在含有聚硅氧烷的氢硅基存在下在薄膜中交联。通过D4NA的开环聚合和随后与（25-35%甲基氢硅氧烷）-二甲基硅氧烷-二甲基硅氧烷共聚物(CL)交联形成弹性体.,,,,18.4,,,,,,,0.043,,,,,,,,5.24E-10,,,,0.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0307,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,44,202004,APPLIED MATERIALS &INTERFACE,10.1021/acsami.0c03692,预聚硅氧烷：甲基氢硅氧烷-二甲基硅氧烷共聚物(CL)(购自ABCR),,,,——A2 (24 wt%  硝基苯胺基团)——从具有硅醇端基的硝基苯胺修饰的预聚硅氧烷开始。它们在含有聚硅氧烷的氢硅基存在下在薄膜中交联。通过D4NA的开环聚合和随后与（25-35%甲基氢硅氧烷）-二甲基硅氧烷-二甲基硅氧烷共聚物(CL)交联形成弹性体.,,,,13.9,,,,,,,0.095,,,,,,,,8.75E-10,,,,0.362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0183,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,44,202004,APPLIED MATERIALS &INTERFACE,10.1021/acsami.0c03692,预聚硅氧烷：甲基氢硅氧烷-二甲基硅氧烷共聚物(CL)(购自ABCR),,,,——A3 (20 wt%硝基苯胺基团)——从具有硅醇端基的硝基苯胺修饰的预聚硅氧烷开始。它们在含有聚硅氧烷的氢硅基存在下在薄膜中交联。通过D4NA的开环聚合和随后与（25-35%甲基氢硅氧烷）-二甲基硅氧烷-二甲基硅氧烷共聚物(CL)交联形成弹性体.,,,,10.6,,,,,,,0.103,,,,,,,,7.28E-11,,,,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0217,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,44,202004,APPLIED MATERIALS &INTERFACE,10.1021/acsami.0c03692,预聚硅氧烷：甲基氢硅氧烷-二甲基硅氧烷共聚物(CL)(购自ABCR),,,,——B (32 wt% 硝基苯胺基团)——使用用NA和活性链端修饰的中等粘度的预聚硅氧烷和“双功能”共聚单体。对于第二条合成路径，所制备的P1被冷却到室温，从而使链端保持活性。,,,,18.9,,,,,,,0.034,,,,,,,,4.13E-11,,,,0.0144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0299,,,,,,,,,,,,,,,,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,45,202004,IEEE TRANSACTIONS ON DIELECTRICAL INSULATION,10.1109/TDEI.2019.008355,双组分硅酮弹性体(一种密度为0.90g/cm3的双组分硅酮弹性体(由中国深圳母材和固化剂有限公司提供。),,,,将固化剂（10%的混合物重量）加入到混合物中，并将复合材料在室温下固化24h。最后，将复合材料置于真空烘箱中进行脱气和消除残留杂质。,,,,,,,,,,,,,,,,,,,,,,,,无机非金属,半导体,BN,B/N,球型,50/5000,各向异性,,5,BN(直径50nm和5μm，密度分别为0.67和0.69g/cm3)和碳化硅(直径50nm和5μm，密度分别为0.95和1.23g/cm3)颗粒由中国清河科技冶金材料有限公司提供,/,,,,,,,4.2,,,,,,,0.0002,,,,,,,,微粒和纳米颗粒在120°C下干燥3h。制备了无填料的硅酮弹性体和两组不同掺杂水平的复合材料。对于另一组，纳米bn(50nm)和微sic(5μm)粉末（1：1体积比）分别用磁力搅拌器与5、10和40vol%的硅酮弹性体(分别标记为nBmS-5、nBmS-10和nBmS-40)混合。将固化剂（10%的混合物重量）加入到混合物中，并将复合材料在室温下固化24h。最后，将复合材料置于真空烘箱中进行脱气和消除残留杂质,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,无机非金属,半导体,SiC,Si/C,球型,50/5000,各向异性,,5,BN(直径50nm和5μm，密度分别为0.67和0.69g/cm3)和碳化硅(直径50nm和5μm，密度分别为0.95和1.23g/cm3)颗粒由中国清河科技冶金材料有限公司提供,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,45,202004,IEEE TRANSACTIONS ON DIELECTRICAL INSULATION,10.1109/TDEI.2019.008355,双组分硅酮弹性体(一种密度为0.90g/cm3的双组分硅酮弹性体(由中国深圳母材和固化剂有限公司提供。),,,,将固化剂（10%的混合物重量）加入到混合物中，并将复合材料在室温下固化24h。最后，将复合材料置于真空烘箱中进行脱气和消除残留杂质。,,,,,,,,,,,,,,,,,,,,,,,,无机非金属,半导体,BN,B/N,球型,50/5000,各向异性,,10,BN(直径50nm和5μm，密度分别为0.67和0.69g/cm3)和碳化硅(直径50nm和5μm，密度分别为0.95和1.23g/cm3)颗粒由中国清河科技冶金材料有限公司提供,/,,,,,,,4.2,,,,,,,0.0002,,,,,,,,微粒和纳米颗粒在120°C下干燥3h。制备了无填料的硅酮弹性体和两组不同掺杂水平的复合材料。对于另一组，纳米bn(50nm)和微sic(5μm)粉末（1：1体积比）分别用磁力搅拌器与5、10和40vol%的硅酮弹性体(分别标记为nBmS-5、nBmS-10和nBmS-40)混合。将固化剂（10%的混合物重量）加入到混合物中，并将复合材料在室温下固化24h。最后，将复合材料置于真空烘箱中进行脱气和消除残留杂质,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,无机非金属,半导体,SiC,Si/C,球型,50/5000,各向异性,,10,BN(直径50nm和5μm，密度分别为0.67和0.69g/cm3)和碳化硅(直径50nm和5μm，密度分别为0.95和1.23g/cm3)颗粒由中国清河科技冶金材料有限公司提供,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,45,202004,IEEE TRANSACTIONS ON DIELECTRICAL INSULATION,10.1109/TDEI.2019.008355,双组分硅酮弹性体(一种密度为0.90g/cm3的双组分硅酮弹性体(由中国深圳母材和固化剂有限公司提供。),,,,将固化剂（10%的混合物重量）加入到混合物中，并将复合材料在室温下固化24h。最后，将复合材料置于真空烘箱中进行脱气和消除残留杂质。,,,,,,,,,,,,,,,,,,,,,,,,无机非金属,半导体,BN,B/N,球型,50/5000,各向异性,,40,BN(直径50nm和5μm，密度分别为0.67和0.69g/cm3)和碳化硅(直径50nm和5μm，密度分别为0.95和1.23g/cm3)颗粒由中国清河科技冶金材料有限公司提供,/,,,,,,,4.2,,,,,,,0.0002,,,,,,,,微粒和纳米颗粒在120°C下干燥3h。制备了无填料的硅酮弹性体和两组不同掺杂水平的复合材料。对于另一组，纳米bn(50nm)和微sic(5μm)粉末（1：1体积比）分别用磁力搅拌器与5、10和40vol%的硅酮弹性体(分别标记为nBmS-5、nBmS-10和nBmS-40)混合。将固化剂（10%的混合物重量）加入到混合物中，并将复合材料在室温下固化24h。最后，将复合材料置于真空烘箱中进行脱气和消除残留杂质,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,否,无机非金属,半导体,SiC,Si/C,球型,50/5000,各向异性,,40,BN(直径50nm和5μm，密度分别为0.67和0.69g/cm3)和碳化硅(直径50nm和5μm，密度分别为0.95和1.23g/cm3)颗粒由中国清河科技冶金材料有限公司提供,/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
