Sample Number,Article Number,Year & Month,Journal,DOI,Matrix name,Monomer,Functional group,Initiator,Matrix modification method,Matrix relative dielectric constant (1Hz),Matrix relative dielectric constant (10Hz),Matrix relative dielectric constant (100Hz),Matrix relative dielectric constant (1kHz),Matrix relative dielectric constant (10kHz),Matrix relative dielectric constant (10^5Hz),Matrix relative dielectric constant (1MHz),Matrix dielectric loss (1Hz),Matrix dielectric loss (10Hz),Matrix dielectric loss (100Hz),Matrix dielectric loss (1kHz),Matrix dielectric loss (10kHz),Matrix dielectric loss (10^5Hz),Matrix dielectric loss (1MHz),Matrix breakdown electric field/kV·mm-1,Matrix conductivity (1Hz)/S·m-1,Matrix conductivity (10Hz)/S·m-1,Matrix conductivity (100Hz)/S·m-1,Matrix conductivity (1kHz)/S·m-1,Matrix conductivity (10kHz)/S·m-1,Matrix conductivity (10^5Hz)/S·m-1,Matrix conductivity (1MHz)/S·m-1,Matrix elastic modulus/MPa,Particle material category,Particle conductivity category,Particle component,Particle main elements,Particle morphology,Particle size/nm,Particle arrangement,Filling ratio (wt),Filling ratio (vol),Particle synthesis method,Particle modification method,Particle relative dielectric constant (1Hz),Particle relative dielectric constant (10Hz),Particle relative dielectric constant (100Hz),Particle relative dielectric constant (1kHz),Particle relative dielectric constant (10kHz),Particle relative dielectric constant (10^5Hz),Particle relative dielectric constant (1MHz),Particle dielectric loss (1Hz),Particle dielectric loss (10Hz),Particle dielectric loss (100Hz),Particle dielectric loss (1kHz),Particle dielectric loss (10kHz),Particle dielectric loss (10^5Hz),Particle dielectric loss (1MHz),Particle conductivity (1Hz)/S·m-1,Particle conductivity (10Hz)/S·m-1,Particle conductivity (100Hz)/S·m-1,Particle conductivity (1kHz)/S·m-1,Particle conductivity (10kHz)/S·m-1,Particle conductivity (10^5Hz)/S·m-1,Particle conductivity (1MHz)/S·m-1,Preparation of composite,Composite thickness/mm,Composite relative dielectric constant (1Hz),Composite relative dielectric constant (10Hz),Composite relative dielectric constant (100Hz),Composite relative dielectric constant (1kHz),Composite relative dielectric constant (10kHz),Composite relative dielectric constant (10^5Hz),Composite relative dielectric constant (1MHz),Composite elastic modulus/MPa,Composite dielectric loss (1Hz),Composite dielectric loss (10Hz),Composite dielectric loss (100Hz),Composite dielectric loss (1kHz),Composite dielectric loss (10kHz),Composite dielectric loss (10^5Hz),Composite dielectric loss (1MHz),Composite conductivity (1Hz)/S·m-1,Composite conductivity (10Hz)/S·m-1,Composite conductivity (100Hz)/S·m-1,Composite conductivity (1kHz)/S·m-1,Composite conductivity (10kHz)/S·m-1,Composite conductivity (10^5Hz)/S·m-1,Composite conductivity (1MHz)/S·m-1,Maximum strain,Breakdown voltage/kV,Breakdown electric field/kV·mm-1,Pre-stretching ratio,Prestress/N,Applied electric field/kV·mm,Frequency/Hz,Actuation displacement/mm,Actuating force/N,Actuating strain,Stress/MPa,Area strain,Response time/ms,Recovery time/ms,Response speed/Hz,Maximum bandwidth/Hz,Electromechanical sensitivity/MPa-1,Elastic energy density/MPa-1,Power density/W·kg-1,Energy density/J·kg-1,Energy efficiency/%,Cyclic voltage/Kv,Cyclic electric field/kV·mm-1,Cyclic strain,Cycle life,Time constant/ms,Single type particles or not,2nd particle material category,2nd particle conductivity category,2nd particle component,2nd particle main elements,2nd particle morphology,2nd particle size,2nd particle arrangement,2nd filling ratio (wt),2nd filling ratio (vol),2nd particle synthesis method,2nd particle modification method,2nd particle relative dielectric constant (1Hz),2nd particle relative dielectric constant (10Hz),2nd particle relative dielectric constant (100Hz),2nd particle relative dielectric constant (1kHz),2nd particle relative dielectric constant (10kHz),2nd particle relative dielectric constant (10^5Hz),2nd particle relative dielectric constant (1MHz),2nd particle dielectric loss (1Hz),2nd particle dielectric loss (10Hz),2nd particle dielectric loss (100Hz),2nd particle dielectric loss (1kHz),2nd particle dielectric loss (10kHz),2nd particle dielectric loss (10^5Hz),2nd particle dielectric loss (1MHz),2nd particle conductivity (1Hz),2nd particle conductivity (10Hz),2nd particle conductivity (100Hz),2nd particle conductivity (1kHz),2nd particle conductivity (10kHz),2nd particle conductivity (10^5Hz),2nd particle conductivity (1MHz),3rd particle material category,3rd particle conductivity category,3rd particle component,3rd particle main elements,3rd particle morphology,3rd particle size,3rd particle arrangement,3rd doping ratio (wt),3rd doping ratio (vol),3rd particle synthesis method,3rd particle modification method,3rd particle relative dielectric constant (1Hz),3rd particle relative dielectric constant (10Hz),3rd particle relative dielectric constant (100Hz),3rd particle relative dielectric constant (1kHz),3rd particle relative dielectric constant (10kHz),3rd particle relative dielectric constant (10^5Hz),3rd particle relative dielectric constant (1MHz),3rd particle dielectric loss (1Hz),3rd particle dielectric loss (10Hz),3rd particle dielectric loss (100Hz),3rd particle dielectric loss (1kHz),3rd particle dielectric loss (10kHz),3rd particle dielectric loss (10^5Hz),3rd particle dielectric loss (1MHz),3rd particle conductivity (1Hz),3rd particle conductivity (10Hz),3rd particle conductivity (100Hz),3rd particle conductivity (1kHz),3rd particle conductivity (10kHz),3rd particle conductivity (10^5Hz),3rd particle conductivity (1MHz)
98,16,201811,CHEMICAL ENGINEERING JOURNAL,10.1016/j.cej.2018.07.094,"PDMS
（Sylgard 184&186）",,,,1.0 times APTE 0.28ml cross-linking reaction to introduce NH- groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,,,,1.97（5KHz）,,,,4.92,,,,0.0030（5KHz）,-2.55,-2.4,,,,,,,,,,33.5,,,,,,,,,,,,,,,1.4,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,17,201902,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,10.1016/j.colsurfa.2018.11.067,"PDMS (Sylgard 184, Dow Corning)",,,,,,,2.6,2.6,2.6,2.6,,,,,,0.005,0..006,,,,,0,0,0,0.00001,,,Metal,Conductor,AgNWs,Ag/Si/O,Sphere,,Isotropic,0.05,,Polyol method,SiO2 coating,,,,,,,,,,,,,,,,,,,,,,,0.11,,,.3.0,3.5,3.4,3.3,,,,,,,0.012,0.013,,,,0,0,0,0.000002,,,,,,,,,,,,,,,,,,5.17,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,17,201902,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,10.1016/j.colsurfa.2018.11.067,"PDMS (Sylgard 184, Dow Corning)",,,,,,,2.6,2.6,2.6,2.6,,,,,,0.005,0..006,,,,,0,0,0,0.00001,,,Metal,Conductor,AgNWs,Ag/Si/O,Sphere,,Isotropic,0.1,,Polyol method,SiO2 coating,,,,,,,,,,,,,,,,,,,,,,,0.11,,,4.25,4.5,4.4,4.3,,,,,,,0.014,0.011,,,,0,0,0,0.000003,,,,,,,,,,,,,,,,,,9.04,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,17,201902,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,10.1016/j.colsurfa.2018.11.067,"PDMS (Sylgard 184, Dow Corning)",,,,,,,2.6,2.6,2.6,2.6,,,,,,0.005,0..006,,,,,0,0,0,0.00001,,,Metal,Conductor,AgNWs,Ag/Si/O,Sphere,,Isotropic,0.15,,Polyol method,SiO2 coating,,,,,,,,,,,,,,,,,,,,,,,0.11,,,5.5,5.6,5.5,5.4,,,,,,,0.0175,0.0148,,,,0,0,0,0.000004,,,,,,,,,,,,,,,,,,2.26,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,17,201902,COLLOIDS AND SURFACES A-PHYSICOCHEMICAL AND ENGINEERING ASPECTS,10.1016/j.colsurfa.2018.11.067,"PDMS (Sylgard 184, Dow Corning)",,,,,,,2.6,2.6,2.6,2.6,,,,,,0.005,0..006,,,,,0,0,0,0.00001,,,Metal,Conductor,AgNWs,Ag/Si/O,Sphere,,Isotropic,0.2,,Polyol method,SiO2 coating,,,,,,,,,,,,,,,,,,,,,,,0.11,,,6.8,6.7,6.6,6.5,,,,,,,0.0148,0.0125,,,,0,0,0,0.000005,,,,,,,,,,,,,,,,,,2.99,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,18,201902,MATERIALS CHEMISTRY AND PHYSICS,10.1016/j.matchemphys.2018.11.011,"PDMS (TC-5005 A/B-C, BJB Enterprises Inc., USA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,,Isotropic,0,,,,,,,,,,127.5,,,,,,,,,,,,,,,Physical Mixing,,,3.12,3.08,3,2,1,,0.038,,,,,,,,,,,,,,,14.03,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,18,201902,MATERIALS CHEMISTRY AND PHYSICS,10.1016/j.matchemphys.2018.11.011,"PDMS (TC-5006 A/B-C, BJB Enterprises Inc., USA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,,Isotropic,0.001,,,,,,,,,,127.5,,,,,,,,,,,,,,,Physical Mixing,,,3.2,3.1,2.5,1.5,0.5,,0.027,,,,,,,,,,,,,,,18.61,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,18,201902,MATERIALS CHEMISTRY AND PHYSICS,10.1016/j.matchemphys.2018.11.011,"PDMS (TC-5005 A/B-C, BJB Enterprises Inc., USA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,,Isotropic,0.005,,,,,,,,,,127.5,,,,,,,,,,,,,,,Physical Mixing,,,3.17,3.1,3.02,2.25,1.75,,0.038,,,,,,,,,,,,,,,15.35,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,18,201902,MATERIALS CHEMISTRY AND PHYSICS,10.1016/j.matchemphys.2018.11.011,"PDMS (TC-5005 A/B-C, BJB Enterprises Inc., USA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,,Isotropic,0.01,,,,,,,,,,127.5,,,,,,,,,,,,,,,Physical Mixing,,,3.23,3.13,3,2.25,1.5,,0.03,,,,,,,,,,,,,,,20.14,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,18,201902,MATERIALS CHEMISTRY AND PHYSICS,10.1016/j.matchemphys.2018.11.011,"PDMS (TC-5005 A/B-C, BJB Enterprises Inc., USA.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,,Isotropic,0.05,,,,,,,,,,127.5,,,,,,,,,,,,,,,Physical Mixing,,,3.37,3.3,3.13,3.07,3.02,,0.032,,,,,,,,,,,,,,,17.96,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,19,201905,JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-019-07009-9,"PDMS (M/S Bayer AG, North America)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,MWCNTs,C,Sphere,25,Isotropic,0.01,,,Treat with an acidic mixture under ultrasonication.,,,,,,,,,,,,,,,,,,,,,,Physical Mixing,,50,50,50,50,50,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,19,201905,JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-019-07009-9,"PDMS (M/S Bayer AG, North America)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,MWCNTs,C,Sphere,25,Isotropic,0.02,,,Treat with an acidic mixture under ultrasonication.,,,,,,,,,,,,,,,,,,,,,,Physical Mixing,,100,80,80,80,80,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,19,201905,JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-019-07009-9,"PDMS (M/S Bayer AG, North America)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,MWCNTs,C,Sphere,25,Isotropic,0.04,,,Treat with an acidic mixture under ultrasonication.,,,,,,,,,,,,,,,,,,,,,,Physical Mixing,,200,100,90,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,19,201905,JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-019-07009-9,"PDMS (M/S Bayer AG, North America)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,MWCNTs,C,Sphere,25,Isotropic,0.05,,,Treat with an acidic mixture under ultrasonication.,,,,,,,,,,,,,,,,,,,,,,Physical Mixing,,130,110,90,90,90,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,19,201905,JOURNAL OF ELECTRONIC MATERIALS,10.1007/s11664-019-07009-9,"PDMS (M/S Bayer AG, North America)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,MWCNTs,C,Sphere,25,Isotropic,0.06,,,Treat with an acidic mixture under ultrasonication.,,,,,,,,,,,,,,,,,,,,,,Physical Mixing,,430,230,150,110,100,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,20,201907,ACS APPLIED NANO MATERIALS,10.1021/acsanm.9b00668,PDMS (D J Silicone),,,,"Dicumyl peroxide (mp = 80°C; purity = 98%) purchased from Sigma Aldrich, USA, was used as a curing agent.",,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,20,Isotropic,0.0909,,Sol-gel method,,,4.75,4,3.5,3,2.25,,,11000,2000,1000,500,500,,,,,,,,,Physical Mixing,1,,10.5,9.75,9.2,9,8.75,,,,0.875,0.62,0.375,0.2,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,20,201907,ACS APPLIED NANO MATERIALS,10.1021/acsanm.9b00668,PDMS (D J Silicone),,,,"Dicumyl peroxide (mp = 80°C; purity = 98%) purchased from Sigma Aldrich, USA, was used as a curing agent.",,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2/La2O3,Ti/O/La,Sphere,20,Isotropic,0.0909,,Sol-gel method,,,5.5,4.6,3.8,3.2,2.5,,,21000,2600,1000,500,500,,,,,,,,,Physical Mixing,1,,12.5,11.5,11,10.5,10.25,,,,0.88,0.615,0.38,0.2,0.135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,20,201907,ACS APPLIED NANO MATERIALS,10.1021/acsanm.9b00668,PDMS (D J Silicone),,,,"Dicumyl peroxide (mp = 80°C; purity = 98%) purchased from Sigma Aldrich, USA, was used as a curing agent.",,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2/Cu2O,Ti/O/Cu,Sphere,20,Isotropic,0.0909,,Sol-gel method,,,5.5,4.6,4,3.4,2.8,,,24000,5000,1000,500,500,,,,,,,,,Physical Mixing,1,,13,12,11.5,11,10.5,,,,1.12,0.68,0.385,0.25,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,21,201912,MATERIALS TODAY COMMUNICATIONS,10.1016/j.mtcomm.2019.100649,"PDMS 
(Sylgard 184, Dow Corning)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,G-ODA,C,Sphere,,Isotropic,0.0025,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2.9,2.8,2.7,2.6,2.5,,,0.025,0.03,0.04,0.05,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,21,201912,MATERIALS TODAY COMMUNICATIONS,10.1016/j.mtcomm.2019.100649,"PDMS 
(Sylgard 184, Dow Corning)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,G-ODA,C,Sphere,,Isotropic,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,1,2.8,2.8,2.7,2.6,2.5,2.4,,,0.025,0.01,0.02,0.03,0.0.5,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,21,201912,MATERIALS TODAY COMMUNICATIONS,10.1016/j.mtcomm.2019.100649,"PDMS 
(Sylgard 184, Dow Corning)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,G-ODA,C,Sphere,,Isotropic,0.0075,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,2.9,2.85,2.75,2.6,2.5,,,0.025,0.02,0.03,0.04,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,21,201912,MATERIALS TODAY COMMUNICATIONS,10.1016/j.mtcomm.2019.100649,"PDMS 
(Sylgard 184, Dow Corning)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Conductor,G-ODA,C,Sphere,,Isotropic,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,1,3.2,3.1,3,2.6,2.4,2.3,,,0.025,0.04,0.06,0.07,0.05,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,22,201807,PROCEDIA COMPUTER SCIENCE,57510.1016/j.procs.2018.07.085,"VHB 4910
(3 M™ USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,5.5,,,,0.25,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,22,201807,PROCEDIA COMPUTER SCIENCE,57510.1016/j.procs.2018.07.085,"VHB 4910
(3 M™ USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,5.5,,,,0.32,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,22,201807,PROCEDIA COMPUTER SCIENCE,57510.1016/j.procs.2018.07.085,"VHB 4910
(3 M™ USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,,5.5,,,,0.4,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,22,201807,PROCEDIA COMPUTER SCIENCE,57510.1016/j.procs.2018.07.085,"VHB 4910
(3 M™ USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,,5.5,,,,0.6,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,22,201807,PROCEDIA COMPUTER SCIENCE,57510.1016/j.procs.2018.07.085,"VHB 4910
(3 M™ USA)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,4,,5.5,,,,0.7,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,23,201808,MATERIALS,10.3390/ma11081321,"PP
(HC314BF, Borealis, Abu Dhabi, United Arab Emirates)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,SiO2,Si/O,Sphere,30,Isotropic,,0(phr),,Modification of Nano-SiO2 by Modifier KH570,,,,,,,4.145,,,,,,,0.00002,,,,,,,,Melt method,,,,,,,,,1361,,,,,,,,,,,,,,,4.93,,338,,,,,,,,28,,,,,,,,,,,,,,,,N,Polymer,Dielectric,POE,C/H/O,,,Isotropic,,10(phr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,23,201808,MATERIALS,10.3390/ma11081321,"PP
(HC314BF, Borealis, Abu Dhabi, United Arab Emirates)",,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,SiO2,Si/O,Sphere,30,Isotropic,,1(phr),,Modification of Nano-SiO2 by Modifier KH570,,,,,,,4.145,,,,,,,0.00002,,,,,,,,Melt method,,,,,,,,,1465,,,,,,,,,,,,,,,4.89,,434.6,,,,,,,,30,,,,,,,,,,,,,,,,N,Polymer,Dielectric,POE,C/H/O,,,Isotropic,,10(phr),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,24,201808,POLYMER,10.1016/j.polymer.2018.06.065,"VHB
（HEA，98%, Aldrich)",,,,Atom transfer radical polymerization (ATRP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Solution Casting,260,,,,7.1,,,,0.86,,,,,,,,,,,,,,,,,,0,,25.5,,,,0.074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,25,201809,MATERIALS,10.3390/ma11091687,TPU T3170,,,,"EVA was applied as a coating onto the E-TPU film, pre-stretched, and dried in air for 24 h.",,,,,,,,,,,,,,,,,,,,,,,,Polymer,Dielectric Material,EVA,C/H/O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,,6.3,5,4.5,4.2,4.1,,1.5,,0.38,0.2,0.25,0.2,0.1,,,,,,,,,11,,,,,45,,,,,,0.058,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,26,201810,Conference on Electrical Insulation and Dielectric Phenomena Annual Report,10.1109/CEIDP.2018.8544913,Silicone Elastomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,,Isotropic,,0,,,,,,,,,127.5,,,,,,,,,,,,,,,,0.6,3.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,26,201810,Conference on Electrical Insulation and Dielectric Phenomena Annual Report,10.1109/CEIDP.2018.8544913,Silicone Elastomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,,Isotropic,,0.05,,,,,,,,,127.5,,,,,,,,,,,,,,,,0.6,4.5,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,26,201810,Conference on Electrical Insulation and Dielectric Phenomena Annual Report,10.1109/CEIDP.2018.8544913,Silicone Elastomer,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceramic Materials,Semiconductor,TiO2,Ti/O,Sphere,,Isotropic,,0.1,,,,,,,,,127.5,,,,,,,,,,,,,,,,0.6,5.25,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,27,201812,JOURNAL OF MATERIALS CHEMISTRY C,10.1039/c8tc04454f,PDMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal,Conductor,Cu,Cu,Sphere,500,Isotropic,0.03,,Low temperature molten salt method,CuxO coating,,,,,,,,,,,,,,,,,,,,,,Mix at room temperature,,,5,4.9,4.8,4.7,4.6,,,,0.045,0.019,0.015,0.014,0.01,,,,,,,,,,,,,,33,,,,0.082,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,27,201812,JOURNAL OF MATERIALS CHEMISTRY C,10.1039/c8tc04454f,PDMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metal,Conductor,Cu,Cu,Sphere,500,Isotropic,0.09,,Low temperature molten salt method,CuxO coating,,,,,,,,,,,,,,,,,,,,,,Mix at room temperature,,,5.5,5.3,5.2,5.1,5,,,,0.04,0.02,0.016,0.013,0.01,,,,,,,,,,,,,,28,,,,0.08,,,,,,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
